idx,item_id
0,1180447
1,1981683
2,1266442
3,265291
4,2397541
5,1860035
6,926150
7,205039
8,1617810
9,918493
10,1492887
11,2508585
12,218435
13,18943
14,187850
15,2717404
16,2664120
17,2345752
18,2303442
19,2605471
20,2512311
21,1624781
22,1340485
23,1326483
24,2828461
25,1787466
26,1419528
27,281053
28,1198932
29,2168673
30,1980367
31,1714882
32,2002097
33,2559122
34,1078851
35,2277810
36,1885980
37,5565
38,2646704
39,2509849
40,2331751
41,1003666
42,2012445
43,2652790
44,466597
45,434392
46,117018
47,1618334
48,1440284
49,739078
50,1679143
51,912321
52,278589
53,2288244
54,202762
55,2746070
56,2533468
57,2481929
58,2296436
59,2065498
60,1811146
61,2701950
62,2023495
63,1024305
64,1006762
65,2778525
66,388368
67,399596
68,2197213
69,1377919
70,1219884
71,1735099
72,41104
73,2364114
74,2012975
75,94846
76,2302017
77,22796
78,483366
79,2820572
80,2741350
81,2295966
82,2286501
83,2246678
84,671536
85,1177446
86,1914124
87,1872231
88,1365661
89,1320392
90,2152422
91,1223136
92,1207570
93,279372
94,1071982
95,792324
96,1027211
97,172609
98,779715
99,548618
100,437610
101,356791
102,243055
103,479242
104,1068607
105,1918402
106,1066379
107,530276
108,1668959
109,926519
110,1617977
111,370067
112,19966
113,2349166
114,1826193
115,1701213
116,1427930
117,1125484
118,247583
119,83674
120,2330921
121,2285095
122,2069639
123,2055672
124,2666748
125,1826479
126,671456
127,1379404
128,1435542
129,1101086
130,1981599
131,1521292
132,2455360
133,1667311
134,1328394
135,1065465
136,2195539
137,831022
138,344584
139,2770568
140,686738
141,1926513
142,530041
143,2204389
144,1682089
145,1530159
146,1145893
147,1716055
148,714423
149,573465
150,2287015
151,489416
152,382824
153,27834
154,2823595
155,1688480
156,564857
157,1141074
158,2660436
159,680340
160,2029064
161,2205780
162,275471
163,2589086
164,915151
165,2554932
166,982674
167,2586734
168,301240
169,165247
170,154237
171,2644807
172,1614970
173,1512983
174,2624184
175,2758564
176,1200115
177,2308390
178,1167435
179,2824142
180,1247987
181,943221
182,725878
183,1238444
184,314359
185,2088560
186,1729595
187,1052790
188,921224
189,35932
190,333133
191,2275702
192,85400
193,1378698
194,2258594
195,2698057
196,1096406
197,663836
198,1724745
199,93056
200,1273098
201,2577422
202,1134688
203,1471750
204,376924
205,2508062
206,1013774
207,1972115
208,490987
209,587660
210,645747
211,2753370
212,2749753
213,2650926
214,2633289
215,2487208
216,2462513
217,2402608
218,2374214
219,2177289
220,2152933
221,2146798
222,2065029
223,1961094
224,1900827
225,1765833
226,1695664
227,1577756
228,1551285
229,1537798
230,1511572
231,1395719
232,1249365
233,1212218
234,1179822
235,1174707
236,1165605
237,1131597
238,1115187
239,1110011
240,1036599
241,959095
242,818888
243,768905
244,750426
245,572929
246,562277
247,534640
248,517682
249,388895
250,306921
251,2549505
252,1519081
253,202266
254,2419624
255,87337
256,2827119
257,2354859
258,2201592
259,2006653
260,2073556
261,1964029
262,1623144
263,473209
264,1229646
265,1245471
266,852010
267,1086872
268,743018
269,1867559
270,538913
271,536047
272,162451
273,271151
274,124767
275,2532924
276,2727399
277,494081
278,412368
279,2652289
280,699006
281,1290335
282,1031833
283,2801020
284,1411806
285,2063165
286,929959
287,2468811
288,344726
289,2166753
290,2078439
291,2017921
292,2002899
293,1867675
294,1625829
295,1548037
296,1292136
297,1239459
298,1194406
299,957007
300,890145
301,771464
302,722245
303,188562
304,133665
305,2487933
306,2655159
307,1946068
308,2101513
309,2232750
310,1126766
311,1627817
312,977840
313,1258148
314,1208331
315,1017960
316,1830534
317,1730178
318,1798107
319,1413460
320,1750528
321,388477
322,791717
323,677392
324,1411003
325,543201
326,2317948
327,2584940
328,2651519
329,1312787
330,224117
331,213792
332,2656500
333,1950432
334,1193609
335,1076933
336,591828
337,2747275
338,1029136
339,1356157
340,100028
341,721214
342,2673351
343,1575494
