idx,user_id
0,118777
1,2613732
2,1685992
3,332162
4,1583325
5,2433425
6,2186409
7,2538158
8,250758
9,859377
10,2092487
11,288497
12,2026461
13,367320
14,1432934
15,2372268
16,2284278
17,645481
18,80633
19,2255540
20,160108
21,2400139
22,1892425
23,2384328
24,1254093
25,1358077
26,2176120
27,2463576
28,1165756
29,204192
30,2432653
31,520255
32,872614
33,285083
34,1117111
35,2548478
36,1029411
37,2658616
38,1394690
39,2674883
40,694095
41,222713
42,145262
43,2829933
44,1709726
45,2129147
46,686738
47,1418767
48,2806934
49,2251053
50,1177964
51,557063
52,2641598
53,682892
54,2414866
55,2934779
56,702618
57,1258920
58,1825133
59,508740
60,1519285
61,265681
62,1565867
63,256185
64,465432
65,1351172
66,946464
67,248212
68,289190
69,1214104
70,604174
71,684281
72,1185382
73,1101903
74,2444796
75,1058700
76,2217148
77,2230497
78,2586679
79,635185
80,306954
81,2232759
82,1245396
83,2801687
84,507001
85,953365
86,1147463
87,1534707
88,1504662
89,1845077
90,2950304
91,106421
92,1947730
93,1251845
94,141932
95,1708387
96,2039843
97,598545
98,2392171
99,1810682
100,571943
101,1938258
102,1960673
103,1600168
104,1152419
105,1602130
106,2558092
107,1055735
108,669795
109,2700713
110,210120
111,261598
112,1260
113,816106
114,261524
115,1788560
116,934004
117,2177013
118,1709299
119,1537421
120,2833067
121,1603248
122,2703904
123,1104309
124,2078871
125,2382177
126,2544702
127,592390
128,3177
129,1800348
130,2063719
131,1909861
132,820058
133,1447032
134,2220784
135,193969
136,445161
137,1896565
138,367455
139,2135004
140,2578817
141,1115445
142,351438
143,41403
144,1482614
145,2326763
146,1678459
147,2097027
148,1232103
149,1529649
150,2508857
151,424839
152,1566688
153,1652664
154,90973
155,1591131
156,1120701
157,938272
158,1885923
159,343141
160,1113132
161,816648
162,2666830
163,2079317
164,1623371
165,1210463
166,442687
167,686298
168,1471419
169,187991
170,2193653
171,391875
172,710105
173,2904693
174,2211791
175,2572491
176,357669
177,1801302
178,2486234
179,1813883
180,2553338
181,636177
182,1312773
183,1955650
184,830695
185,269440
186,2588739
187,2131466
188,2134203
189,393107
190,1644921
191,1197828
192,1612013
193,257738
194,505158
195,1473366
196,2977657
197,2489069
198,1448579
199,2452609
200,2517775
201,2353894
202,2546046
203,2055196
204,2453370
205,930894
206,2487643
207,2110477
208,785075
209,1384319
210,2619424
211,1578699
212,18749
213,408782
214,1114462
215,302918
216,1789212
217,2002121
218,1894809
219,1533220
220,1789513
221,2114160
222,1363090
223,1863906
224,275686
225,1711359
226,1500820
227,2727164
228,992373
229,161521
230,581186
231,108692
232,368287
233,2201402
234,2181977
235,105334
236,379874
237,1112818
238,2246710
239,2254332
240,1669306
241,2100772
242,2693540
243,1858403
244,2057302
245,2709028
246,1569865
247,2656435
248,2433010
249,1748340
250,97718
251,1778421
252,1768636
253,2445048
254,106320
255,217483
256,1567667
257,2046292
258,111479
259,1059635
260,2604261
261,1454497
262,191220
263,2440446
264,879363
265,2597791
266,1270554
267,2479577
268,1284756
269,487881
270,2775355
271,651552
272,443508
273,965913
274,2419713
275,2595336
276,248412
277,2145235
278,2221169
279,2541790
280,2195287
281,2763567
282,2699015
283,2193068
284,1001889
285,979432
286,1457891
287,1701826
288,310514
289,1270644
290,552041
291,714654
292,2481127
293,241299
294,1482737
295,2154390
296,1835574
297,397583
298,1503540
299,2081920
300,2095767
301,772498
302,1353226
303,1580963
304,517745
305,847233
306,1381346
307,1499575
308,821299
309,1016282
310,2586087
311,2497122
312,1624865
313,518939
314,1049603
315,1474389
316,1192373
317,1152433
318,545071
319,11635
320,1607046
321,2331986
322,2009409
323,509658
324,2761581
325,550317
326,1056529
327,348875
328,1595198
329,28321
330,484793
331,692082
332,1376100
333,565556
334,2221830
335,297803
336,1612109
337,1382351
338,184848
339,861634
340,1440083
341,365494
342,290357
343,2286387
344,1896434
345,716898
346,394012
347,444824
348,1044924
349,2233446
350,1924664
351,855236
352,257950
353,1448304
354,2327922
355,2044889
356,2166003
357,802141
358,2472715
359,2288019
360,897123
361,2030083
362,2565112
363,2761193
364,1147426
365,2229751
366,1619158
367,595968
368,1929803
369,162429
370,572820
371,1819605
372,1778645
373,2638596
374,1248686
375,551081
376,2066351
377,432418
378,1669270
379,2455207
380,1293619
381,28276
382,1762563
383,2137748
384,1910850
385,1475426
386,330281
387,2787207
388,1574632
389,152067
390,144191
391,2926996
392,1332507
393,1115093
394,2931707
395,1256484
396,605562
397,2852719
398,1131209
399,248615
400,324447
401,1557830
402,2459923
403,2719145
404,298507
405,2632072
406,120068
407,2538202
408,622845
409,1865041
410,507916
411,1175935
412,139756
413,2234639
414,2155016
415,929333
416,2629678
417,1439793
418,881780
419,1789955
420,2084952
421,971969
422,2963617
423,2773084
424,924276
425,2296347
426,1665835
427,2657941
428,433852
429,6352
430,2058467
431,2444850
432,1247231
433,2979840
434,2281966
435,1878734
436,730636
437,2803314
438,2028838
439,1295628
440,2182845
441,67814
442,248175
443,1353678
444,1949915
445,555233
446,2552389
447,320099
448,2839038
449,1578652
450,1257560
451,1514182
452,2543251
453,2004447
454,362579
455,617042
456,2403696
457,1483976
458,878196
459,932182
460,1541901
461,967709
462,1742682
463,2111201
464,856058
465,1457626
466,2950628
467,602132
468,867401
469,2022720
470,1982330
471,1328260
472,1666138
473,1259767
474,1208636
475,1360306
476,1238680
477,175854
478,769896
479,161813
480,2475394
481,997001
482,2145144
483,1236474
484,1044467
485,945601
486,2584152
487,140772
488,2623740
489,792409
490,2473645
491,798229
492,1927140
493,153879
494,1076907
495,2739259
496,2231585
497,1965211
498,1350249
499,1435371
500,40422
501,2498353
502,1011914
503,1317902
504,2107143
505,1339022
506,1022222
507,2196869
508,1191088
509,2847391
510,1689739
511,2110618
512,669105
513,2204166
514,596374
515,141584
516,1615851
517,2251675
518,249266
519,2180874
520,252124
521,60667
522,2960024
523,638780
524,2126448
525,1904174
526,1161966
527,177201
528,2728060
529,930429
530,2085715
531,1480800
532,1063733
533,2475148
534,1132609
535,419655
536,2851409
537,2851560
538,2421886
539,1607357
540,1015106
541,983467
542,2283995
543,969210
544,2286464
545,747561
546,1624182
547,620678
548,860417
549,282283
550,572924
551,833770
552,1115287
553,1508681
554,1673605
555,2218402
556,747052
557,990801
558,1503525
559,2893187
560,1554574
561,315797
562,1872093
563,954533
564,1558961
565,1125948
566,2214872
567,1621575
568,2148648
569,864792
570,2886421
571,17401
572,1898226
573,577233
574,1734445
575,2387379
576,927335
577,2442457
578,530282
579,2103755
580,1014713
581,2841661
582,1873287
583,2285714
584,2723528
585,962631
586,2888712
587,1697511
588,2504432
589,1476398
590,2719232
591,2449167
592,1931143
593,1456082
594,1122434
595,1623652
596,2447353
597,2896537
598,589813
599,2476987
600,1562509
601,299065
602,77258
603,712237
604,510958
605,2456572
606,2545328
607,2681062
608,845414
609,732450
610,2936810
611,257604
612,958981
613,1993353
614,1504862
615,2357760
616,2751116
617,2922866
618,2889550
619,945739
620,575464
621,761762
622,1234876
623,1765186
624,112774
625,1558791
626,2338412
627,1365481
628,2267341
629,2492008
630,348415
631,2920909
632,2362114
633,1273690
634,969937
635,2118377
636,314027
637,1109556
638,2857705
639,1583740
640,1694918
641,1644673
642,1935269
643,2748345
644,2764844
645,2871991
646,2537604
647,354324
648,189295
649,1973610
650,2669404
651,466892
652,1477810
653,2815609
654,136905
655,1280505
656,720892
657,2368432
658,1644122
659,1201535
660,731264
661,120282
662,2876942
663,1949625
664,2727328
665,224922
666,2725858
667,2146031
668,136108
669,2715330
670,897356
671,1998915
672,682443
673,163548
674,643102
675,1141896
676,2544268
677,1136723
678,2342720
679,854451
680,338191
681,2263376
682,1565614
683,2651062
684,220835
685,2964516
686,1761925
687,2303015
688,2815648
689,2169521
690,392248
691,2554447
692,2086372
693,149385
694,433453
695,288705
696,1416619
697,2554469
698,1382302
699,16778
700,1093260
701,1553873
702,2909784
703,360883
704,820841
705,863771
706,1927747
707,1675199
708,861570
709,2313203
710,1486867
711,929688
712,2112784
713,1410050
714,2679789
715,719907
716,1196229
717,1633701
718,2544603
719,2085381
720,617578
721,861257
722,2065459
723,1251533
724,1409116
725,2394041
726,2324818
727,321245
728,1436592
729,35765
730,2067224
731,2337002
732,2646479
733,1176866
734,1515846
735,2106728
736,228484
737,627932
738,848544
739,397372
740,435123
741,267556
742,2373744
743,2349961
744,1284087
745,2676911
746,185124
747,1334953
748,74664
749,2395943
750,260830
751,1606582
752,433501
753,88270
754,634240
755,2723179
756,93312
757,2394828
758,2955455
759,896400
760,1304283
761,606353
762,639376
763,1466646
764,2335676
765,397867
766,1219298
767,965880
768,1127033
769,2211519
770,396696
771,2231063
772,2903504
773,1294962
774,867974
775,268124
776,1067917
777,2508451
778,2512596
779,1285542
780,2695328
781,544542
782,1235640
783,2829525
784,716442
785,2370874
786,370123
787,2871440
788,1070068
789,28412
790,2430056
791,1108173
792,1420406
793,1379042
794,2625141
795,1273512
796,668002
797,489043
798,1241734
799,1238105
800,1934185
801,410559
802,2821270
803,1428615
804,940077
805,904157
806,1500721
807,979776
808,192776
809,403704
810,1413408
811,2764399
812,2978400
813,1074488
814,2877542
815,2219974
816,1110661
817,178233
818,305770
819,1367646
820,15548
821,1844160
822,1247928
823,1082431
824,490292
825,992936
826,253016
827,933874
828,1255370
829,613782
830,56317
831,2115196
832,809644
833,1890542
834,2198327
835,876977
836,1541172
837,820627
838,1878018
839,2693392
840,1058015
841,1002754
842,2319784
843,1601822
844,1156469
845,293783
846,1089214
847,1082844
848,2523125
849,1167057
850,846378
851,501987
852,1170442
853,1177082
854,456954
855,2843555
856,38944
857,2145396
858,1590634
859,1697661
860,2984056
861,1912479
862,246495
863,1108325
864,586618
865,90156
866,2819326
867,488548
868,2414841
869,626185
870,307313
871,196956
872,2552653
873,437899
874,341144
875,1112990
876,731165
877,1178499
878,1936929
879,1622676
880,490409
881,190639
882,1567178
883,839595
884,2607376
885,665511
886,890357
887,2763938
888,600701
889,2590895
890,2342332
891,1425185
892,1241825
893,385485
894,2478743
895,1596565
896,90115
897,1670536
898,1256556
899,1795060
900,2544079
901,397412
902,1309517
903,392025
904,1869171
905,2343279
906,2153322
907,1736424
908,1002187
909,1944940
910,2163316
911,593984
912,1824317
913,2983407
914,1688960
915,1835359
916,446195
917,1718853
918,1101098
919,804244
920,1048093
921,2046062
922,500911
923,1534962
924,1057757
925,766340
926,1609136
927,2749983
928,1516224
929,2225526
930,2849576
931,1655544
932,715176
933,1392995
934,324168
935,166546
936,1000082
937,1488890
938,338301
939,632485
940,1693423
941,2485265
942,2079711
943,1506323
944,404205
945,933364
946,2928690
947,1192069
948,1262840
949,2604998
950,601797
951,443397
952,2895012
953,2172624
954,1674679
955,613957
956,355691
957,1244436
958,1837889
959,1826562
960,1073269
961,2942478
962,147354
963,972825
964,1059852
965,622254
966,1051056
967,133612
968,679474
969,583849
970,623683
971,2477577
972,1009945
973,2463211
974,2178239
975,408816
976,2714951
977,2190854
978,1103539
979,586948
980,1706424
981,157494
982,962823
983,1461127
984,2429621
985,774047
986,883783
987,1975222
988,2263034
989,411469
990,2742
991,1616742
992,1609115
993,1337060
994,1189858
995,2553113
996,1385396
997,2633667
998,2694873
999,784158
1000,2060515
1001,2479808
1002,2396678
1003,75532
1004,115604
1005,239304
1006,1497693
1007,2493728
1008,2970115
1009,1990483
1010,2940331
1011,1317272
1012,854101
1013,2672806
1014,1366177
1015,891058
1016,1722318
1017,1203454
1018,963360
1019,93930
1020,2479145
1021,1979960
1022,434386
1023,2637355
1024,1308227
1025,2068771
1026,1200798
1027,2818398
1028,2217829
1029,533584
1030,2850320
1031,2291040
1032,1844048
